rhoL,uL,TL,rhoR,uR,TR,s1,s2,s3,type
1.680376,-0.3127891,1.251479,1.59688,0.6123149,0.6285726,-17.02815,0.1451384,-1.479609,2
0.7295696,0.04376372,1.380022,1.83239,0.384659,1.197745,-0.7504416,-0.5092257,-1.255357,2
0.313359,-0.1194291,0.5094917,0.2176185,0.7800604,0.6606925,-1.14103,0.08085719,0.8686424,2
1.279958,-0.405105,1.172912,0.3319492,-0.1880455,1.326707,-0.8913374,-0.4924785,-1.265355,2
1.912936,0.2405042,1.146564,1.717353,-0.1944299,1.359389,2.444855,-0.3590303,-1.321772,2
0.2063433,-0.8808269,0.9954339,1.520951,1.568683,1.367482,-0.3595664,0.2144782,-0.2354805,2
0.3524221,-0.7770066,1.263169,1.465309,0.5153522,1.390975,-1.298197,-0.1580591,-1.404714,2
0.1038786,-1.145193,1.414209,0.408658,0.4622663,0.5009369,0.05197728,-0.09136401,-1.196664,2
1.187785,-0.432039,0.5711951,0.783381,1.25145,1.280387,0.2967406,-0.05464148,-0.5037509,2
1.746543,1.096412,1.399596,1.487623,1.338804,1.402566,-1.726204,9.153699,-2.978053,2
1.333761,-0.00371514,0.5726577,1.660024,0.3611878,0.392416,1.172128,0.0997658,-1.247966,2
1.299414,-0.6689973,1.122034,0.4582747,0.3779392,0.7960747,-1.01677,-0.2325171,-0.934078,2
0.8690271,-0.9764206,0.8305941,1.196963,0.5393594,0.6839475,-1.017213,0.01426264,1.504618,2
1.243646,-0.9886484,0.9099275,1.391968,0.464823,1.129283,-6.67477,-0.02417125,-2.729408,2
0.6942324,-0.8237326,1.103727,1.254316,0.4424832,0.8104008,-0.3678258,-0.2864324,-0.237608,2
1.480877,-0.9563673,1.35714,1.369513,0.259933,0.7173086,-6.643212,-0.264192,-0.9499174,2
1.064882,-0.7043416,0.7217996,1.754768,0.1907118,0.4329912,-0.2411331,-0.0858899,-0.104093,2
0.2225522,-0.3517335,1.073956,1.186423,0.2995387,0.7599712,-0.5574989,-0.2999448,-0.7324099,2
1.654782,-0.2446664,0.6135168,0.8729945,1.471361,1.355677,-0.203288,0.002805733,-0.1345632,2
0.3255143,-0.7035427,1.314975,0.9847982,-0.1120488,1.303029,-1.243365,2.412437,-1.479132,2
0.9919553,-0.2970222,0.6007023,1.368357,0.2839784,0.5273682,-0.1109957,-0.2011532,0.1218153,2
0.9748543,-1.077824,1.328937,1.251331,0.02702791,0.6447387,1.316209,-0.2400724,-0.6961121,2
0.8215765,-1.464923,1.251625,1.548773,-0.233817,0.4788909,-0.264332,0.2708081,0.02713134,2
1.15727,0.07718702,1.090913,0.7238343,-0.6174694,1.333209,-0.3559745,-0.237863,-10.95095,2
0.9531698,-0.8628354,1.104291,1.051495,0.3073111,1.091967,-3.642753,-0.2622655,14.35479,2
0.4673132,0.2922138,0.374408,0.1976757,0.5840806,0.5824945,-0.1748774,-0.6382969,0.447233,2
0.9634672,-0.8353298,1.2859,0.5816581,-0.447893,1.325351,-0.5577729,-0.3068573,-0.7423155,2
0.6313167,-0.1061449,0.6797004,0.7714971,0.04323846,0.5562809,0.3965441,-0.2188341,-0.7682465,2
1.110796,-1.00171,0.8720263,0.7643349,-0.5592267,1.21442,1.34778,0.8961698,-8.504314,2
0.6104783,-0.6459695,1.144874,1.715111,-0.6234235,0.8262624,-0.2891584,-0.1132363,-0.2416799,2
0.3142792,0.01054574,1.2876,1.351308,0.5913126,0.6182427,0.03755905,0.1039499,3.48868,2
0.7890432,0.6428472,1.318275,1.094795,0.772243,1.365639,-1.029432,-0.6936241,-1.130019,2
1.878258,0.9048287,1.27604,1.188995,0.5248572,1.410886,-0.2946016,-0.02392235,-0.3774206,2
1.871704,-0.5490554,1.322353,1.178314,0.4017725,1.232334,-1.250779,-0.4702388,-1.291268,2
1.020699,-1.363556,1.276206,0.7693174,0.3097658,0.9509181,0.3769618,-0.01592617,-0.05467555,2
0.1174474,-1.14052,1.132048,1.19456,-0.4352251,0.6630056,-0.4148543,-1.108747,-0.6618668,2
0.4382729,-0.07321878,1.378275,0.9323377,1.264955,1.390882,-0.2204854,-0.1637533,-0.3238626,2
0.3675315,-0.1240408,1.249179,1.532895,0.6875283,0.7177545,-0.004023336,-0.0003033344,0.6427394,2
1.244334,-0.7148665,0.9777128,0.7202109,0.4930179,1.3539,0.24849,-0.2771975,-16.33467,2
1.893281,-1.175993,1.315811,1.246389,0.7036451,1.359808,0.09731694,-0.2643208,0.07028218,2
0.3681332,-0.2979021,0.5782141,0.4059547,0.1771993,0.5936989,-1.187019,-0.2074496,-1.193349,2
0.2029092,-0.5667378,0.6987832,0.2723419,0.07186026,0.3407426,0.4573105,-0.1195305,-0.3758746,2
1.174023,-0.8473729,1.081282,0.9527099,1.016242,1.360932,0.6292961,-0.2784424,-1.492715,2
1.076351,-1.561226,1.364931,0.6950926,-0.7119919,1.022379,0.1893211,0.2805304,0.02911316,2
0.8019713,-0.5321219,1.166108,1.290268,-0.09835325,0.7335158,0.3013333,-0.6161924,-0.9725319,2
1.779626,0.2717049,1.030566,1.642662,1.318379,1.213876,-6.604888,0.3589786,0.9450748,2
1.42271,0.1134452,0.4309498,1.92313,0.5011958,0.5763584,-0.293389,-0.08842738,-0.2197541,2
1.487454,0.4390951,0.4391004,1.575285,0.4759478,0.4505125,0.2258827,0.169973,0.09643148,2
0.3466021,1.277769,1.233582,0.1933637,1.480303,1.30021,-0.365177,-0.8027454,-0.5803802,2
0.68308,0.4351957,0.9555255,0.8687967,0.2934081,0.8049641,-0.148177,-1.093451,-0.545829,2
0.7986004,-0.6494378,0.9514726,0.3203246,-0.4226449,0.9314061,-0.5765416,-0.3214351,-0.7095151,2
1.276819,0.4924213,1.038666,0.8132307,0.8201286,1.074875,-1.023636,7.644219,-1.489212,2
1.615919,-0.325977,1.22252,1.868362,1.065844,1.289544,1.213845,-0.2807043,0.2060046,2
1.428864,0.3250735,1.016011,1.249317,0.006113967,1.07593,0.1156935,-0.192436,-0.01679439,2
1.746828,-0.7339999,1.161031,1.258719,1.003498,1.275145,-0.9187658,-0.322802,-2.210157,2
1.546602,-1.21258,1.086653,1.235165,0.7768123,1.244534,2.205235,-0.04494311,6.27304,2
1.215201,-1.189115,1.26948,1.499438,-0.205167,0.8565006,-0.9482629,-0.0626975,-0.1829236,2
0.7884781,-0.5903779,1.095121,0.1364706,0.8834648,0.9297305,-0.9463939,-0.09368915,-0.9976469,2
0.4921432,0.1409057,0.7761046,0.2521607,0.5784578,0.9799548,-0.5975156,-0.06728722,-1.546298,2
1.347297,-0.3473564,0.8333026,1.065029,-0.1145157,1.131696,0.8807304,0.2277616,-1.521394,2
1.833702,-1.26029,1.342309,1.751209,-0.9901626,1.357501,3.98531,0.9282935,2.487908,2
1.443645,-0.4671972,1.320628,0.5702991,0.1450318,1.162115,-1.257367,-0.3627279,-1.323092,2
0.7274556,0.4486105,0.4456132,0.5292484,0.5434996,0.7629644,0.7169994,3.303552,-0.6221101,2
0.4459567,-0.8715974,0.9515056,1.721569,0.1040626,0.9604686,-0.9772117,0.4261224,-1.1617,2
0.4943365,-0.4482345,1.354544,1.25576,-0.3488868,1.109496,-0.7763435,-0.8358422,-1.182041,2
1.794111,0.5587866,0.6862004,0.8343478,0.5534077,0.9765759,-0.09506405,0.211544,0.9095723,2
0.1849884,-0.1186977,1.372037,1.76145,0.2420059,0.7299594,-0.4966094,-0.3516426,-0.7773169,2
1.751864,0.04898845,1.394144,1.30752,0.4799844,1.403552,-1.448115,-0.2601992,-1.911012,2
1.597412,-0.2651208,1.015413,0.6449031,0.393465,1.216697,-0.7301943,-0.4196885,-1.091996,2
1.152959,-1.355834,1.254749,1.035445,0.9277814,0.924441,-1.255387,0.04057393,-0.3112826,2
0.3082837,-1.214924,1.252589,1.718883,-0.3665527,0.8736165,-0.6888867,-3.182112,-1.10378,2
1.734643,-1.108237,1.307401,0.7801014,1.434653,1.401038,-0.933948,-0.1326019,-1.132908,2
0.6155272,-0.8100283,0.7308674,0.07007886,0.341704,0.9786413,-0.1331237,0.03663611,-0.09084381,2
0.492952,-0.3648819,0.5054565,0.2022483,0.06994374,0.3477336,-0.4058464,-0.1072149,-0.3475262,2
0.2889368,0.1924194,1.265523,0.823103,0.2224912,0.9469135,-0.398443,-0.3959997,-1.175561,2
1.780841,-0.118268,0.2665325,0.3151102,0.4891858,0.8361373,-0.02251486,-0.1351663,-0.7948576,2
0.2125446,-0.7675211,1.332928,1.814093,0.3931403,0.9875616,-0.8174137,-0.1837125,-0.9541587,2
0.7107381,0.1755571,1.265013,0.7817767,0.5353037,1.046289,2.779784,0.1361182,-2.132505,2
1.407142,-0.07493541,0.1133675,0.08778352,0.1647762,0.3050021,-0.0620298,-0.04738503,-0.03372595,2
1.473802,-1.457019,1.236871,1.074061,-0.248157,0.9809428,1.202589,0.3278498,0.3213681,2
0.1687813,-1.181409,1.362351,0.91873,0.5626544,1.240003,-1.093037,-0.158873,-1.263459,2
1.053654,-0.3484925,1.406757,1.066506,-0.1723677,1.198147,23.44982,-0.8348651,-1.438694,2
0.1731933,-0.6019309,1.224116,0.9481257,1.08248,1.268575,-0.7027627,-0.1903474,-0.7017597,2
1.946293,0.04991994,1.107478,1.444754,1.135977,0.9734898,-3.194004,0.5552259,-3.596313,2
0.1005275,-1.110304,0.9792399,0.7805784,0.1546783,1.116872,-1.191571,2.312191,-1.426762,2
0.4599684,0.1850916,0.9938124,0.6781422,0.4985155,1.03942,-0.7661935,-0.4002716,-0.8561293,2
1.638748,0.2792983,0.851017,0.7608695,0.573656,1.005325,-0.6662559,-6.891675,-1.039061,2
1.000038,-0.05497662,0.7098935,1.941385,0.2776217,0.6558453,-0.3720863,-0.2563548,-0.5714976,2
1.545412,-0.6342281,0.598251,0.09765258,0.9132329,1.118567,-0.1919011,0.00332492,-0.1205206,2
0.7532623,0.239822,0.777464,0.5662774,0.7727789,0.7974012,-1.53475,0.4758568,-5.400262,2
0.1615915,-0.7487757,0.6521434,0.07481363,-0.4382147,0.8024744,0.218294,0.3022184,0.4957154,2
1.470295,-1.521156,1.364799,1.800325,-1.099075,1.011322,-0.08588143,-0.1109614,-0.1156732,2
1.488113,-0.444598,0.8083072,1.065294,-0.2132977,1.391307,1.121125,0.9498915,-1.613524,2
1.158988,-0.8450748,0.8737991,1.356703,1.311249,1.299602,-1.789621,-0.01901634,-0.5238883,2
0.4295956,-0.5744177,0.4886291,0.2922716,0.5402332,0.5659242,0.2782726,0.0333079,0.872548,2
1.336938,1.176763,1.138567,0.9791952,1.055752,1.353699,0.5185097,0.9700343,6.764728,2
1.159931,-1.462166,1.356084,1.398689,-0.9395818,1.282868,-2.322265,2.226137,14.49961,2
1.718958,0.7987599,0.9698712,0.5743627,0.896682,1.140545,-0.3612347,-0.5362655,-0.4595269,2
