rhoL,uL,TL,rhoR,uR,TR,s1,s2,s3,type
0.1395115,1.090593,1.025666,0.1721126,-0.8388595,1.151718,-2.827452,0.6409,-1.561537,3
0.4765607,1.496049,1.343286,1.70184,-0.5737042,1.039,-0.4219052,0.6657479,-3.251005,3
0.8752757,1.394304,1.364412,1.441905,-0.62038,1.215347,-0.7929178,0.5950043,-7.86533,3
0.7968739,0.8713558,1.169802,1.821944,-0.02722263,0.6570013,-0.1538554,-0.2537559,0.6316535,3
0.9154317,0.7819679,1.1765,0.885121,-0.9788123,1.085944,-10.62654,0.4776076,-1.916189,3
1.251929,0.6244078,0.7850565,0.4420195,-0.7908952,1.106745,-0.01133617,0.3687477,-2.165534,3
1.260487,1.217546,1.214857,0.925705,-0.1896299,1.30429,0.8447034,0.4675996,0.505754,3
1.905324,1.424524,1.340959,1.534028,-0.4080616,1.036091,-0.4504055,0.375924,0.02112679,3
1.293041,0.2551538,1.163232,1.192681,-1.105648,1.059124,-7.557052,0.5580762,-7.605724,3
1.127235,-0.1184497,0.19448,0.6876834,-1.579026,1.359185,-0.1436001,-0.2571487,-0.08856378,3
1.202854,0.8532664,1.332064,1.866545,-0.7323203,0.9465535,1.358485,0.2991364,0.9286835,3
0.9754419,0.7898143,1.130495,1.931363,-0.6242468,0.765362,0.7756896,0.3410268,6.840624,3
1.053661,0.5825609,0.7074047,0.5124565,-1.024331,1.01428,0.4198897,0.4988107,13.64103,3
0.6879196,-0.09822603,0.2963639,0.04772738,-1.156179,0.9871721,-0.165525,-0.7805937,-35.41576,3
0.6246877,1.300077,1.239521,0.2441734,-1.108865,1.014826,-0.9416441,0.6506041,-0.7192909,3
0.8779814,0.9785645,1.168844,1.572374,-0.1425486,0.5297894,0.2083439,-0.2497406,0.02271814,3
1.795766,0.2664646,0.2818421,0.8382884,-0.496177,0.6631044,0.6050625,0.05519129,0.2124302,3
1.915419,0.3315766,1.12943,0.865747,-1.641386,1.411412,-0.8440306,0.7556121,-12.09789,3
1.351389,0.6504833,0.7428113,1.095446,-1.050394,1.28734,3.565548,0.2296329,-0.0451184,3
1.713652,0.8522079,0.879397,1.912222,-0.4724659,0.6126885,2.589049,0.3029833,0.1794328,3
1.879299,0.8194671,1.201283,1.453693,-0.5217175,1.136349,-0.8518993,0.1012612,-0.7790274,3
0.7597495,0.8570016,0.8250102,1.015235,-1.480574,1.360381,-2.746212,0.5880772,-0.1116063,3
0.06064903,0.6377617,0.880303,1.136759,-0.2755887,0.2619439,0.002101342,0.245703,-1.570774,3
1.016739,0.3497064,1.092659,1.089771,-1.047355,1.361098,-2.894365,0.009649427,-0.3614608,3
1.054035,0.001635623,0.4670919,0.2479398,-0.8089308,0.7535481,-0.2705554,0.362594,-3.183624,3
0.4704911,1.443545,1.371741,1.651789,-0.5654228,0.9883828,-0.1970989,0.6046838,-3.879074,3
0.9212935,0.8605869,1.071647,1.525743,-0.8787102,0.9836082,-0.1638069,0.5174228,-1.352631,3
0.3001986,0.609222,0.9055513,0.2086628,-1.176832,1.30227,0.8264035,0.3490201,0.9495264,3
0.7110165,0.3421393,0.2999716,0.5272337,-0.4008813,0.6380885,2.05757,0.1003005,-0.1507277,3
1.68208,1.581991,1.348841,1.772062,-0.3059723,0.5370297,3.63919,0.2380696,0.2123521,3
0.9350591,0.5086868,1.207177,1.422869,-0.7525253,0.8242963,1.70851,0.3572756,-0.5113242,3
0.8980411,0.7844085,1.04928,1.821452,-1.052966,1.173521,-0.8419715,0.3382523,-0.802603,3
1.512529,0.4098387,0.8959078,1.036872,-0.2980868,1.086289,0.2695603,-0.0496158,-3.751216,3
1.660221,0.5852788,0.9475031,0.6510371,-1.354387,1.412899,0.1723695,0.4674697,-30.28085,3
0.3992353,0.2870622,0.6840237,0.09894734,-0.7891553,1.303006,0.1642997,0.01572617,-11.9529,3
0.2484734,0.8436729,1.028487,0.7178957,-0.2992763,0.3115517,0.5800784,-0.05609499,0.4344026,3
1.540814,1.198382,1.205467,1.935137,-0.008371307,0.7521104,-0.5028439,0.07379162,0.1359805,3
0.3222665,0.6894201,1.327864,0.5980142,-0.4746423,0.9029652,0.5767196,0.01553809,1.599684,3
1.992883,-0.3348084,0.8653478,0.954646,-1.282631,1.140839,-0.8616237,1.374324,61.35842,3
1.320605,0.395683,0.433769,0.8507217,-0.3455203,0.553851,0.4201974,0.2141678,-3.095705,3
0.9466899,1.121678,1.039605,0.4163518,-0.719478,1.153969,-0.1814777,0.5626568,-0.6509255,3
1.8155,0.1093045,0.3372521,0.1490118,-1.385996,1.320493,0.005879162,-0.08769921,5.459117,3
1.119801,0.9286277,1.024577,0.8932989,-0.5882554,0.7407236,-2.087635,0.2783571,-0.2985078,3
1.381834,0.1698267,1.245505,0.8184342,-1.518697,1.306733,-1.733558,0.8873664,-6.626101,3
0.7293899,0.402582,0.6374891,0.2270617,-0.4680658,1.263564,0.4738834,0.08991415,1.860675,3
1.814619,0.6748813,0.6108561,1.735955,-0.8213764,0.8396509,11.18786,0.526543,0.05803156,3
0.5829513,0.6273981,1.359334,0.8335014,-0.6789542,0.8774977,2.33226,0.1458884,-0.4997391,3
0.9307793,-0.06089057,0.7189069,0.3293092,-1.495247,1.361314,-0.490143,0.3723162,2.223881,3
1.940835,0.203736,0.3621595,0.3568603,-1.063783,1.145351,0.1526862,-0.06518078,1.808916,3
1.973835,1.498976,1.289003,0.6452603,-0.8992085,1.391205,-0.32578,0.6850395,-0.593103,3
0.8464192,1.579684,1.372871,0.8933254,-0.05905976,0.281146,0.02919911,-0.0118374,0.05500711,3
1.092786,0.4268901,0.7593767,1.042772,-1.029104,1.197922,8.138525,0.06541402,-0.16599,3
1.303735,1.431036,1.304613,1.958104,-0.1369056,0.8038744,-0.5371758,0.3143079,0.7338899,3
1.62312,0.2498963,0.9978561,1.531855,-0.8386776,1.036924,-3.376161,0.1797948,1.764931,3
0.9229251,0.2938308,0.9757685,1.292591,-0.5582412,0.7420945,1.062213,0.16929,-0.9820768,3
0.8427824,0.4224417,0.4873089,0.5360467,-0.4847937,0.8848598,1.39873,0.0866345,-0.1590895,3
0.07149385,0.5660883,0.7425852,0.3375562,-0.2243008,0.3217658,0.2404201,0.104094,4.770523,3
1.344356,0.4439135,0.3948883,1.895788,-0.6345642,0.7528514,-1.914374,0.1076133,-0.2942424,3
1.760041,0.9002176,0.9286522,0.8804349,-0.7544102,1.38733,0.8933441,0.5392442,-66.21776,3
0.7905609,1.025801,1.239044,0.4613795,-0.6978483,1.390326,-0.1189115,0.3596224,-1.126421,3
0.4849557,0.9794378,1.052832,1.294867,-0.129695,0.515955,-0.07259901,-0.02209304,1.022594,3
0.5718927,0.748081,0.6752074,0.9904481,-1.374961,1.167583,-1.291943,0.5316206,-0.1137937,3
0.7652571,0.9553173,1.307649,1.873712,-0.07318906,0.7053375,-0.1056663,-0.2927568,0.7838843,3
1.658588,1.154,0.9890288,1.586611,0.1886856,0.9921105,10.01472,0.7075228,1.859589,3
1.294227,0.8806074,1.337648,1.578873,-0.4102612,1.219125,-0.6131614,0.06844868,5.775993,3
1.771447,0.8133104,0.7991362,1.648245,-0.3835465,0.8354952,3.390481,0.3789463,1.591112,3
0.2168015,0.975763,1.053797,0.6761051,-0.6895695,0.8767169,-0.4023966,0.4467336,-1.615365,3
0.6315061,0.7670333,0.9588804,0.828036,-1.18995,1.225375,-1.714945,0.4696265,-0.3222724,3
1.230527,0.3424922,0.8424186,1.169706,-0.7818841,0.9641466,0.07745385,0.1525556,0.2570967,3
0.6936926,0.7687762,1.165567,1.410346,-1.091738,1.25469,-0.8109427,0.2985425,-0.8939944,3
1.207734,1.039644,1.294476,1.341079,-0.5210236,0.5333045,8.562267,-0.05732167,-0.260611,3
0.4666762,1.441381,1.270755,0.3497293,-0.9081833,0.7729093,-2.819523,0.7353453,-0.005080714,3
0.6400218,0.2026757,0.5929649,1.429127,-0.5289605,0.4890688,0.02340513,0.2374459,-0.1747169,3
1.545002,0.3633079,0.5625021,0.6713681,-0.6702776,0.5674855,-0.4797648,0.3559818,-1.114438,3
0.7525829,0.9033189,1.180532,1.806874,-0.3089728,0.7147307,0.1229866,0.04586865,3.010665,3
1.43009,1.458525,1.317246,0.8642938,-1.031642,1.019167,-1.287156,0.7903047,-0.3586337,3
1.576133,0.3233827,1.251565,1.87588,-1.00455,1.276882,0.2706329,0.1639163,-0.09658088,3
0.4224772,0.2875692,1.283423,1.824618,-0.6981904,0.6471211,0.117299,0.4389518,-0.7946114,3
1.068205,1.020897,0.8752223,1.833816,0.2599754,0.6644586,-0.802098,0.8199699,2.334342,3
1.504242,-0.1442783,0.4924525,0.489928,-0.8693145,0.7751725,-0.3932009,0.7683848,-92.65279,3
0.3864354,0.7303542,0.7558383,0.6271764,-0.4167191,0.4331065,0.8723614,0.2930175,0.5585937,3
0.5195556,0.8150217,1.20377,0.4968472,-1.2627,1.235243,-4.37106,0.6669397,2.924622,3
0.429964,1.40904,1.230633,0.9942844,-1.359537,1.364686,-1.100101,0.9032927,-1.234266,3
1.092819,0.6961465,0.6432623,0.7366942,-0.6228592,0.8449193,1.123135,0.4873733,2.776992,3
1.229565,0.8006285,0.8626332,1.694932,-0.2581855,0.3978037,0.9024871,0.003758164,0.05073535,3
1.944794,1.056331,0.9341623,0.5331998,-1.256377,1.333776,-0.01546838,0.8922325,-1.98161,3
1.076438,0.4627367,0.5515265,0.9632273,-0.3106516,0.4354034,-1.700521,0.1409203,-0.1584756,3
1.563413,0.8863055,1.265247,1.325569,-1.074874,1.280849,-0.9647125,0.4955667,-3.237994,3
0.5630495,0.8853991,1.112931,1.226922,-0.3827152,0.3428052,1.056704,-0.02993505,0.2100359,3
0.4597827,1.296229,1.29292,1.993016,-0.5377349,0.5984857,0.6007216,0.502667,15.44195,3
0.9998612,0.6991214,1.376832,1.297193,-0.8669322,1.392133,-0.8509432,0.1337047,-1.242286,3
0.8952514,-0.03280327,0.08940294,1.075428,-1.192725,1.233137,-4.53431,-1.742297,-1.290718,3
