rhoL,uL,TL,rhoR,uR,TR,s1,s2,s3,type
0.6704462,0.4731103,0.7453524,1.10794,-0.05998669,1.121491,-2.152723,-0.2202748,-1.158588,5
0.283206,0.04570613,0.1805606,0.4857743,-1.088715,1.268209,-0.978959,-0.6443595,-0.483108,5
0.9871665,0.8557349,0.7648754,1.542716,0.0785366,1.240898,-3.519324,0.9105821,-1.354363,5
0.8004578,0.6974424,0.7527484,0.7049174,0.9872683,1.355748,4.38405,-3.400485,-0.9212103,5
1.658402,-0.2716963,0.6767105,1.786745,-0.4149829,1.171896,-6.629237,-2.94728,-1.054925,5
1.900505,0.5402851,0.5434343,1.762124,0.3103094,0.9294662,9.278198,1.329567,-0.9550532,5
0.375067,-0.5586149,1.054935,0.8330032,-1.052922,1.346703,-0.6519885,-0.7297509,-0.690493,5
1.168977,-0.333908,0.5520692,1.464297,-1.116491,1.259738,-1.042703,-0.6252488,-0.4698666,5
0.3282047,0.2239072,0.3860836,1.900208,-1.081502,1.021336,-0.2420739,-0.2084975,-0.2064968,5
0.1398137,-0.6714089,0.9606464,1.639355,0.2132867,1.229293,-1.227567,2.756111,-1.432573,5
1.061616,0.4749918,0.7801224,1.984457,0.2413173,1.32485,-2.290864,1.65964,-1.313062,5
1.495619,0.0811948,0.2661631,1.495606,1.072812,1.360424,88427.09,-0.09249972,-0.7707249,5
0.6575547,-0.2447704,0.3851271,1.266145,-0.7462649,1.141168,-0.9961851,-1.12637,-0.6946515,5
1.529743,0.2318872,0.4922268,1.371572,-0.342092,1.244406,7.569251,-0.9364332,-0.9111969,5
0.5945776,1.29249,1.348809,1.747958,-0.004715136,1.073499,-0.7764147,0.6511533,-3.226435,5
0.9970514,-0.4712666,0.5258116,0.7208859,-0.5659907,1.365207,1.609134,10.74651,-1.198197,5
1.73107,0.1639954,0.3135695,0.8982108,1.369781,1.189882,0.4107574,0.1929395,-0.08460179,5
0.2194663,0.5168238,1.25081,1.438924,-0.6351756,0.8957544,-0.5055323,-0.11404,-0.9532462,5
0.5208904,0.3722252,1.051015,1.839182,0.5601122,1.272624,-1.183724,-0.4856453,-1.230816,5
0.4662386,1.060121,1.050184,1.86684,-0.01391414,1.051255,-1.011505,0.8231606,-1.634164,5
0.2879649,-0.1445829,0.7028981,0.8135337,-1.367999,1.197996,-0.01575634,0.01803035,-0.05938056,5
1.147443,0.7994583,1.079521,0.8934856,-0.07557983,1.41079,2.069833,0.3049197,-2.337152,5
0.7874928,-0.007892136,0.9344358,0.5863554,-0.8181308,1.350845,0.1952117,-0.4420278,-0.4107362,5
1.132329,-0.1928617,0.2635027,0.8636876,0.9118287,1.227504,1.888854,-0.08062916,-0.7949845,5
0.7127667,0.3147349,0.267084,1.047097,-0.8141755,1.150471,-2.494056,-0.530418,-0.5481085,5
1.779106,0.3528907,0.3347317,1.850439,-0.05250614,0.7168953,-20.96641,0.08720177,-0.6061546,5
1.406373,-0.2590266,0.6550182,1.518417,-0.6692937,1.169251,-4.795342,-1.234694,-0.8184127,5
0.03235593,1.066369,1.305689,1.201526,-0.4882894,1.15582,-0.9343844,-2.059647,-1.251269,5
1.200985,-0.3530141,0.4031513,0.7559949,-0.9869608,1.148806,0.2263068,-1.188748,-0.4342118,5
0.2289189,0.9723037,1.079305,0.4217271,0.4096752,1.02848,-1.068811,2.652316,-1.983396,5
0.01087078,0.1780942,0.5024387,0.9238987,-1.229211,1.2492,-0.3928702,-0.8051761,-0.5558902,5
0.3917966,0.8530512,1.299447,1.470623,-0.8634335,1.154736,-0.7051045,0.1304206,-1.28822,5
0.3994485,-0.5760759,1.146859,1.894002,-0.662598,1.006891,-0.5400061,-0.8327105,-0.6853725,5
1.556926,0.5505152,0.5331398,0.5892033,0.1639116,1.135359,0.4860515,0.5567754,-1.278878,5
0.005656585,0.7207234,0.7599368,1.617234,0.417603,1.172627,-1.371188,3.24395,-1.662982,5
0.350827,-1.492623,1.385436,1.550115,-1.202067,1.312452,-0.4918065,-1.038734,-0.6953226,5
0.4145142,1.21098,1.035485,1.335817,-0.1040763,1.287281,-1.609603,0.7615243,-1.734917,5
1.386741,-0.09095543,0.6875466,1.306174,-0.555508,0.8358521,-0.03617019,-0.1564232,-0.2277024,5
0.8531097,-1.028478,1.095815,1.935388,-1.219154,1.3184,-0.4658074,-0.7750132,-0.5423646,5
0.3186497,0.5667419,0.7914383,0.791369,-0.1081938,1.031835,-1.319026,-0.1423349,-1.177109,5
1.556781,0.1115138,0.3837664,0.9229783,-0.2065876,0.9591004,0.8162057,-0.799569,-0.6668295,5
0.1426449,1.067064,0.9748479,0.7690186,-0.4577391,1.364444,-1.430388,-0.4871188,-1.451709,5
0.02336238,0.5435039,0.5944758,1.278397,-1.132471,1.360425,-0.6841718,-1.429178,-0.9282932,5
1.034782,-0.2873395,1.001834,1.388183,-1.300579,1.140233,0.8145711,0.4459132,0.3071666,5
1.23894,0.4674897,1.01992,1.790708,-0.7111601,1.162171,-1.22459,-0.04448225,-0.9074496,5
0.4294825,-0.4975044,0.9470197,0.9165376,-0.5059964,1.083085,-0.9205983,-1.42459,-0.9734064,5
0.06321368,-1.106917,1.206048,1.231789,-0.7943112,1.164613,-0.7577099,-1.876032,-1.051822,5
1.4264,0.1508258,0.7309374,0.8694804,-0.4711343,1.070628,0.236965,-0.2869895,-0.1354002,5
